Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
11/20/2020,,,,12623,84716,3451,100790,5827192,48173,3.6,46609,518,142,92,7934,3172,2193,8
11/21/2020,,,,12827,86079,3472,102378,5873863,46671,4.3,43047,513,146,87,7984,3190,2206,8
11/22/2020,,,,12918,87508,3486,103912,5920252,46389,3.8,30427,484,147,89,8020,3197,2213,8
11/23/2020,,,,13004,88992,3505,105501,5957723,37471,4.6,18394,507,156,92,8078,3211,2224,8
11/24/2020,,,,12917,90074,3519,106510,5984776,27053,5.8,29316,534,159,91,8118,3218,2234,8
11/25/2020,,,,12779,91550,3554,107883,6020852,36076,4.7,44950,523,159,106,8177,3234,2256,8
11/26/2020,,,,12871,92915,3575,109361,6068428,47576,3.9,52852,556,151,105,8237,3248,2270,8
11/27/2020,,,,13255,94366,3595,111216,6126465,58037,3.7,54241,541,151,101,8330,3267,2283,8
11/28/2020,,,,13538,95876,3624,113038,6181551,55086,3.4,56219,595,155,99,,,2294,8
11/29/2020,,,,13779,97319,3648,114746,6235510,53959,3.7,38724,586,156,91,8361,,2301,8
11/30/2020,,,,14197,98639,3656,116492,6274916,39406,4.6,27388,618,168,108,8399,,2303,8
12/1/2020,,,,14524,100012,3663,118199,6309556,34640,5.1,34046,645,185,112,8493,,2309,8
